NewsID,informativeness_score
N3701,0.9518
N1759,0.9298
N8044,0.9002
N62345,0.9417
N59306,0.9149
N43625,0.9416
N15849,0.9179
N6064,0.8605
N52041,0.977
N8970,0.9024
N20506,0.9435
N16789,0.9435
N14982,0.9413
N23506,0.9179
N34589,0.9071
N47282,0.9503
N56306,0.9147
N18016,0.9623
N26181,0.8496
N15359,0.9263
N52498,0.8851
N57539,0.8259
N38316,0.9769
N55363,0.8638
N16158,0.9305
N38830,0.8974
N19688,0.8982
N56224,0.9196
N64307,0.8822
N16110,0.9144
N2944,0.9875
N64906,0.942
N18336,0.455
N25630,0.6871
N5525,0.9061
N32355,0.9143
N25922,0.8927
N28042,0.8867
N59906,0.8021
N7910,0.644
N30701,0.9402
N21274,0.9222
N27948,0.9507
N42207,0.9313
N16072,0.9385
N22817,0.9135
N22122,0.9318
N31432,0.8705
N61021,0.9186
N53449,0.9373
N23979,0.4356
N62497,0.9631
N27292,0.9133
N6070,0.9222
N15652,0.9744
N41153,0.9871
N35056,0.9323
N21346,0.9381
N52852,0.916
N38048,0.6558
N53196,0.9888
N19452,0.916
N64629,0.97
N51940,0.8883
N22560,0.8732
N43311,0.7219
N37780,0.8565
N33864,0.9366
N51721,0.7709
N2208,0.8514
N33188,0.9489
N36656,0.9061
N34933,0.9108
N18091,0.8925
N40256,0.9424
N55937,0.9283
N33986,0.9683
N55185,0.7938
N18022,0.865
N21812,0.8556
N55503,0.3943
N62980,0.8895
N18528,0.9678
N60729,0.8496
N59278,0.9227
N52400,0.991
N59334,0.8988
N37814,0.9569
N10671,0.8708
N60675,0.8564
N3819,0.9303
N35813,0.9103
N59018,0.9445
N20161,0.9308
N62538,0.9085
N48899,0.8889
N39373,0.9081
N47891,0.9053
N45600,0.9621
N2335,0.8531
N47709,0.9041
N36132,0.8807
N49808,0.8725
N38147,0.9367
N42191,0.946
N28859,0.8549
N50155,0.8989
N21893,0.9425
N21520,0.7044
N56403,0.9438
N45242,0.8226
N61558,0.9597
N27280,0.9221
N10564,0.9568
N34195,0.9446
N35066,0.9202
N6881,0.9703
N54427,0.9352
N38166,0.9073
N16124,0.9287
N52082,0.8856
N12796,0.9119
N19033,0.7473
N30948,0.8849
N42816,0.8027
N48105,0.9667
N46899,0.9299
N26277,0.9215
N7884,0.9418
N20436,0.8563
N39614,0.8991
N57796,0.9249
N47403,0.9067
N54748,0.9124
N59330,0.9133
N60530,0.9727
N52087,0.8462
N40557,0.879
N49170,0.7979
N11002,0.9337
N50500,0.9346
N5145,0.9217
N13458,0.9557
N45160,0.9818
N9327,0.919
N38169,0.9632
N47390,0.9455
N54424,0.9542
N44090,0.874
N20605,0.9907
N39804,0.9161
N15521,0.9241
N56478,0.975
N7729,0.9114
N29819,0.9476
N36617,0.8313
N23007,0.924
N11062,0.922
N62793,0.8962
N9695,0.8536
N43969,0.9324
N4030,0.8669
N18396,0.9611
N49820,0.9121
N32090,0.8919
N45920,0.8554
N15198,0.8656
N39994,0.8649
N59932,0.898
N48643,0.8543
N7572,0.9173
N1368,0.8719
N57503,0.9504
N48230,0.9894
N13069,0.9399
N33579,0.815
N54955,0.9592
N54516,0.9409
N4204,0.8612
N60793,0.9222
N21890,0.8022
N7622,0.9224
N39669,0.9508
N13386,0.8937
N25341,0.8336
N24568,0.9014
N40308,0.874
N15964,0.9065
N33132,0.9766
N16009,0.9255
N375,0.8479
N31586,0.8223
N16660,0.9422
N21530,0.8915
N767,0.6935
N49523,0.8629
N22734,0.9005
N36714,0.9122
N19174,0.9431
N7219,0.9894
N14972,0.9599
N19405,0.8985
N3267,0.8971
N3987,0.9564
N18784,0.8313
N50382,0.9477
N12814,0.9122
N33818,0.8666
N22288,0.9231
N7108,0.9614
N48662,0.7228
N30883,0.9038
N19506,0.8765
N44345,0.9477
N50188,0.7987
N825,0.9302
N30946,0.8774
N64795,0.8742
N13203,0.9009
N39411,0.9538
N39200,0.8843
N46053,0.8665
N33418,0.6438
N56748,0.9679
N3510,0.9636
N64114,0.9006
N59603,0.9341
N17198,0.9532
N47945,0.8099
N58072,0.896
N8845,0.8961
N13427,0.9684
N14401,0.9462
N41813,0.9377
N15717,0.8625
N20044,0.9076
N45414,0.7416
N5661,0.9238
N51139,0.9276
N17254,0.9113
N33803,0.8816
N35245,0.9881
N2899,0.9544
N21413,0.89
N21066,0.9639
N23991,0.9607
N2343,0.8065
N12349,0.9083
N47864,0.8518
N10715,0.8301
N26028,0.9332
N53776,0.8631
N43228,0.8406
N1016,0.8943
N6983,0.8933
N43512,0.9265
N33003,0.9457
N8348,0.9524
N12089,0.7654
N53693,0.8826
N33822,0.9171
N54496,0.9529
N57845,0.8786
N55883,0.9314
N46826,0.831
N13298,0.9213
N1446,0.9328
N13433,0.9459
N36484,0.9539
N15402,0.9559
N15679,0.9861
N39545,0.8257
N14594,0.9384
N34254,0.9203
N18877,0.8921
N47997,0.8281
N25887,0.9603
N46252,0.8483
N24013,0.8899
N54631,0.9487
N32034,0.9133
N48323,0.9106
N63397,0.8944
N29334,0.8373
N45412,0.9243
N6725,0.9389
N21938,0.8721
N55500,0.8571
N47346,0.9522
N62414,0.8264
N54153,0.962
N28210,0.9742
N24780,0.9246
N22767,0.8911
N36605,0.8919
N20789,0.9669
N13156,0.8844
N27696,0.9198
N59793,0.8422
N20855,0.8602
N53921,0.8478
N62112,0.9504
N34572,0.9406
N20340,0.9053
N61265,0.9057
N64,0.9011
N39830,0.9409
N7679,0.9466
N50738,0.8909
N51383,0.9134
N42220,0.8963
N184,0.8282
N58492,0.9543
N6908,0.8068
N28501,0.8553
N51263,0.9374
N18941,0.8613
N42025,0.9212
N33320,0.9226
N35510,0.9381
N50410,0.9095
N5076,0.7352
N51635,0.8223
N728,0.8138
N446,0.8878
N15743,0.9733
N55624,0.7825
N55082,0.8547
N5387,0.9047
N19307,0.928
N5156,0.9131
N55647,0.8249
N5649,0.9792
N38723,0.8228
N31952,0.886
N33243,0.9258
N46492,0.9285
N28702,0.9471
N59947,0.9648
N11485,0.8866
N18313,0.9289
N53494,0.9251
N20556,0.8845
N45447,0.9307
N15933,0.9226
N21377,0.9522
N46236,0.9713
N13084,0.9435
N2388,0.9574
N47608,0.9465
N7814,0.9418
N45030,0.8432
N45889,0.914
N41718,0.9094
N23157,0.964
N39882,0.9527
N30978,0.9444
N58201,0.9533
N61277,0.8615
N49315,0.8077
N33185,0.9281
N63574,0.8036
N31039,0.9249
N28192,0.9291
N41906,0.8798
N59806,0.9352
N49416,0.8981
N25188,0.9285
N9208,0.9762
N50391,0.9078
N36947,0.9124
N62127,0.9202
N36796,0.9754
N34177,0.9311
N36022,0.9229
N58968,0.8749
N26731,0.9501
N11620,0.8555
N7984,0.9181
N8730,0.9795
N35334,0.8948
N35692,0.9179
N26320,0.9319
N399,0.9279
N53340,0.9283
N29649,0.9172
N26615,0.8542
N31059,0.8884
N5301,0.8503
N47265,0.9167
N52326,0.9907
N23586,0.9172
N62498,0.935
N56319,0.934
N9729,0.9198
N58353,0.9213
N17294,0.9597
N55893,0.9341
N24201,0.8526
N33427,0.91
N64607,0.9431
N9722,0.8442
N46855,0.8035
N64868,0.9299
N61555,0.851
N11705,0.7473
N59622,0.9822
N37351,0.8776
N6144,0.8934
N9629,0.9447
N35121,0.9799
N15372,0.9433
N36366,0.8561
N2932,0.9298
N545,0.8806
N12496,0.9769
N16976,0.9567
N40170,0.9269
N971,0.8396
N32241,0.9207
N23908,0.8199
N30618,0.8534
N52658,0.944
N33551,0.8832
N16299,0.9097
N16024,0.9096
N3288,0.954
N51458,0.8387
N28719,0.9286
N18428,0.8866
N7199,0.9567
N50324,0.9436
N22687,0.9181
N56446,0.8175
N367,0.8601
N37539,0.8506
N38811,0.8047
N4652,0.953
N58010,0.8009
N8991,0.8356
N60146,0.9428
N32095,0.9421
N60066,0.9249
N61205,0.8712
N28564,0.8976
N20145,0.8121
N25923,0.8942
N53746,0.8149
N37734,0.8374
N39764,0.8999
N21677,0.9656
N48615,0.9434
N36683,0.8969
N56921,0.9138
N37571,0.5486
N33331,0.7801
N51729,0.7478
N61449,0.8068
N49135,0.8424
N11354,0.9553
N39978,0.9126
N41501,0.8825
N53521,0.8976
N17598,0.8336
N21478,0.8844
N6643,0.9684
N55972,0.9393
N27352,0.9018
N47798,0.8739
N55697,0.8801
N45358,0.9397
N36716,0.93
N4697,0.9531
N2221,0.8762
N39426,0.9762
N58111,0.8557
N11369,0.8958
N27628,0.9827
N37042,0.9707
N40689,0.8472
N59166,0.8821
N30398,0.4889
N36913,0.9398
N19383,0.9205
N54420,0.985
N12272,0.913
N24290,0.9764
N42332,0.8082
N62577,0.8777
N1479,0.9632
N35719,0.8969
N7019,0.932
N942,0.961
N8004,0.868
N7996,0.9634
N36841,0.7951
N21847,0.8941
N43524,0.9379
N15324,0.8915
N30646,0.9868
N36517,0.8729
N41347,0.8414
N33615,0.8741
N23175,0.9126
N62313,0.8825
N52158,0.8605
N46292,0.9492
N60108,0.8929
N59675,0.9454
N43178,0.9492
N49065,0.9116
N2812,0.956
N24871,0.8822
N62445,0.8467
N29761,0.906
N43943,0.939
N39660,0.9052
N37584,0.8241
N35225,0.8957
N54796,0.9173
N52447,0.9824
N23352,0.9468
N51018,0.9323
N8921,0.8727
N42571,0.9686
N45659,0.8712
N10346,0.9129
N47662,0.913
N31367,0.895
N37152,0.9067
N17274,0.9612
N12236,0.8223
N17137,0.8529
N54708,0.9716
N59823,0.9002
N29782,0.9322
N25973,0.9032
N29130,0.9063
N50724,0.8144
N5004,0.9704
N13463,0.9241
N52840,0.9227
N13469,0.9231
N21609,0.9275
N17250,0.9694
N5615,0.8857
N38794,0.9253
N18716,0.8542
N46173,0.9681
N63085,0.848
N3569,0.8799
N59941,0.9005
N30710,0.9574
N23500,0.8742
N24158,0.8671
N2253,0.9017
N3719,0.8542
N62343,0.9016
N14948,0.87
N34182,0.7979
N8366,0.9308
N13963,0.9585
N15622,0.9173
N36286,0.9387
N7064,0.9773
N13359,0.9044
N44885,0.9484
N56269,0.8509
N5359,0.8698
N34533,0.9614
N46070,0.9128
N4889,0.8352
N7976,0.8116
N36642,0.9368
N17860,0.9036
N50276,0.8822
N35955,0.85
N38627,0.8811
N47718,0.9633
N4310,0.8753
N57479,0.9398
N2950,0.8264
N25080,0.8201
N1161,0.9206
N32203,0.9809
N1533,0.9566
N51991,0.9139
N44513,0.9528
N3348,0.9398
N62111,0.7858
N52884,0.8949
N60919,0.8031
N29139,0.9602
N17881,0.9323
N53355,0.9759
N724,0.9148
N15050,0.8473
N37943,0.8144
N18890,0.9569
N50507,0.9017
N99,0.9548
N52148,0.7983
N34840,0.8959
N43028,0.9373
N46635,0.8514
N44721,0.9702
N56998,0.8926
N19278,0.8588
N32640,0.9278
N2991,0.9483
N41804,0.9122
N35380,0.9404
N36143,0.8831
N21454,0.9024
N16890,0.8451
N16323,0.9727
N6487,0.4201
N8649,0.8481
N29273,0.9265
N57846,0.8486
N46158,0.9239
N1488,0.9307
N22739,0.8755
N50182,0.894
N19919,0.9598
N23844,0.93
N63244,0.921
N93,0.9534
N48021,0.9209
N4259,0.9007
N62157,0.8931
N37481,0.8886
N29361,0.9462
N26566,0.9492
N28629,0.7925
N56630,0.9218
N32865,0.9742
N48873,0.9197
N61424,0.8903
N20150,0.7607
N43644,0.8237
N41509,0.9284
N41926,0.9611
N19802,0.8707
N40672,0.8682
N1601,0.8746
N22903,0.9146
N35026,0.8889
N2361,0.9446
N57678,0.9216
N32482,0.8963
N47338,0.8772
N21708,0.9932
N6334,0.882
N33378,0.8938
N36662,0.9333
N39405,0.8141
N42663,0.8774
N26100,0.9252
N56902,0.9809
N9782,0.9412
N58719,0.8861
N39108,0.9054
N20322,0.9199
N19390,0.9576
N1888,0.9346
N48272,0.7937
N18141,0.8932
N25601,0.9346
N26552,0.8856
N59781,0.8308
N7088,0.8593
N16825,0.845
N38179,0.7935
N40824,0.8338
N1311,0.9647
N2467,0.832
N64730,0.9091
N50663,0.9556
N55670,0.8815
N38963,0.9528
N44956,0.9211
N44455,0.9386
N53813,0.9559
N8526,0.8609
N28436,0.9547
N53409,0.821
N43351,0.8384
N31094,0.9666
N26472,0.8155
N21917,0.8302
N23213,0.9471
N49155,0.9565
N53739,0.8631
N39214,0.8761
N39114,0.929
N8129,0.8701
N9034,0.8322
N60104,0.921
N18893,0.7301
N23742,0.8658
N45663,0.923
N39370,0.9681
N61105,0.8979
N50963,0.9274
N56189,0.9477
N16064,0.9836
N25260,0.8457
N47895,0.8649
N36855,0.8595
N1635,0.9183
N25714,0.9301
N20292,0.9399
N5351,0.9438
N36832,0.849
N56916,0.9357
N61486,0.9567
N7013,0.9315
N22770,0.9676
N5989,0.9594
N32302,0.7588
N30680,0.9364
N35894,0.9386
N12845,0.8878
N42405,0.9381
N56066,0.8335
N6613,0.9018
N22380,0.8973
N56698,0.8775
N25202,0.8653
N19742,0.9369
N33220,0.861
N14914,0.9478
N5748,0.7489
N7619,0.9348
N8113,0.8977
N25131,0.9109
N39177,0.921
N10851,0.9664
N32061,0.8964
N30130,0.9221
N50503,0.9355
N22938,0.8983
N3755,0.8421
N45087,0.8801
N20987,0.971
N62193,0.8468
N29701,0.8299
N4313,0.9488
N14991,0.9356
N30456,0.9288
N14843,0.9265
N58580,0.8436
N64955,0.8413
N6987,0.9039
N13786,0.9168
N18857,0.9068
N16724,0.9033
N11692,0.9439
N60115,0.9558
N25718,0.8665
N29659,0.9328
N36358,0.9003
N8036,0.8577
N13282,0.869
N19723,0.989
N61840,0.8946
N6157,0.9453
N56290,0.9657
N17374,0.914
N27464,0.892
N3938,0.9431
N64577,0.8924
N47402,0.9397
N274,0.9489
N5844,0.9363
N16369,0.8869
N56683,0.8865
N46777,0.9878
N32700,0.8944
N65172,0.8842
N57213,0.9517
N1267,0.8703
N48112,0.8988
N19219,0.9556
N3939,0.9811
N32873,0.9332
N43086,0.9097
N31111,0.8707
N4628,0.9599
N3830,0.9538
N30075,0.9661
N1264,0.9284
N22252,0.8813
N1516,0.8085
N19498,0.9239
N56889,0.8335
N30594,0.8578
N26542,0.8889
N7142,0.9274
N12960,0.9496
N37034,0.9168
N24072,0.8325
N37095,0.9167
N63536,0.9566
N20179,0.8316
N20195,0.9392
N32851,0.8807
N14185,0.9703
N24144,0.8991
N39767,0.8869
N18668,0.7822
N5575,0.9776
N18281,0.9232
N19429,0.8685
N58279,0.8029
N28134,0.9062
N10861,0.8166
N25861,0.9371
N25337,0.8809
N57070,0.9264
N22828,0.9086
N45012,0.8366
N41339,0.8924
N43635,0.9154
N32832,0.854
N33742,0.9906
N16550,0.9118
N42654,0.8531
N33716,0.897
N12697,0.8581
N33759,0.8622
N7125,0.8937
N29249,0.9802
N22540,0.9356
N38326,0.9341
N54819,0.9497
N15816,0.8684
N17951,0.7711
N10055,0.8485
N55524,0.5774
N19839,0.9585
N38570,0.9332
N41970,0.9013
N6266,0.8772
N40189,0.9068
N49312,0.9105
N36580,0.9496
N3435,0.922
N41063,0.7922
N47838,0.9234
N42258,0.9366
N41196,0.8595
N28283,0.9133
N30113,0.9288
N23620,0.9615
N6048,0.9238
N53163,0.9927
N18085,0.9469
N36565,0.9505
N20523,0.9086
N30588,0.9648
N52097,0.8945
N27818,0.9365
N28538,0.9263
N1699,0.961
N4285,0.3157
N39799,0.9123
N4244,0.9722
N58640,0.954
N33084,0.8506
N12569,0.932
N18532,0.9333
N54255,0.9823
N56829,0.8838
N17854,0.8607
N49846,0.8554
N25746,0.9542
N12648,0.9092
N23777,0.8157
N37950,0.9482
N57295,0.806
N61504,0.9293
N2031,0.9585
N45377,0.9157
N10228,0.8352
N55410,0.9084
N10466,0.8976
N4198,0.9412
N43711,0.6832
N16256,0.9764
N46215,0.836
N12269,0.9926
N28841,0.8662
N42407,0.3853
N10417,0.9432
N33363,0.9495
N2065,0.9251
N56758,0.855
N17240,0.7384
N17268,0.901
N8603,0.9753
N45336,0.6632
N18199,0.9542
N60350,0.8922
N59283,0.8382
N33673,0.9379
N1487,0.981
N6496,0.8271
N43461,0.9155
N35455,0.9268
N60111,0.956
N24478,0.9794
N36155,0.904
N39170,0.9378
N27202,0.6866
N25253,0.949
N4509,0.8735
N49584,0.8915
N64415,0.8721
N56862,0.8947
N50268,0.9607
N30204,0.9439
N65193,0.6143
N1792,0.929
N21308,0.8851
N61698,0.9566
N1272,0.7496
N23804,0.9394
N34702,0.8334
N44634,0.8947
N6925,0.9682
N62109,0.8644
N41977,0.9006
N48018,0.9515
N53104,0.8837
N7534,0.4357
N803,0.9088
N55368,0.9282
N6158,0.965
N38786,0.9646
N63755,0.8611
N53320,0.9362
N58281,0.9407
N33561,0.9227
N34444,0.9914
N2489,0.9287
N39869,0.8927
N15229,0.9739
N2255,0.9803
N33477,0.9476
N22103,0.8885
N51911,0.9429
N39489,0.9315
N57038,0.9649
N57582,0.9327
N32441,0.9318
N1944,0.9535
N358,0.9563
N45892,0.9675
N47927,0.8928
N32460,0.9214
N64034,0.9163
N53466,0.9054
N55387,0.887
N15920,0.9067
N52951,0.8974
N50534,0.8263
N52757,0.9424
N37600,0.8894
N56012,0.9354
N14548,0.8853
N3578,0.8521
N6360,0.5383
N24778,0.8646
N8358,0.9708
N32560,0.9196
N37852,0.8858
N38690,0.9237
N27563,0.851
N31050,0.7505
N52816,0.8136
N18830,0.9251
N63801,0.8324
N28531,0.4545
N62144,0.8913
N61502,0.9462
N20586,0.841
N28217,0.9237
N23287,0.9835
N43839,0.7733
N58536,0.8713
N20585,0.9219
N8022,0.9169
N56230,0.9223
N40817,0.951
N28365,0.9321
N18596,0.9299
N44099,0.9683
N24406,0.9943
N40297,0.955
N21603,0.9549
N46828,0.9449
N8254,0.9482
N31234,0.9644
N44912,0.9052
N30745,0.9479
N21487,0.8772
N25515,0.9529
N45767,0.8444
N62938,0.9461
N4483,0.9442
N17136,0.8102
N34878,0.8342
N47883,0.919
N40427,0.8623
N50108,0.8668
N37563,0.921
N54275,0.929
N18071,0.9415
N56267,0.7384
N53339,0.869
N9384,0.9164
N4129,0.8535
N16367,0.8497
N56087,0.9429
N2719,0.9759
N10214,0.9502
N50784,0.8564
N60475,0.9388
N57735,0.9511
N59570,0.893
N20808,0.8562
N48246,0.9429
N14238,0.8879
N2690,0.9148
N30535,0.9384
N19630,0.8872
N31906,0.9382
N3842,0.8792
N32744,0.8286
N62646,0.8882
N21079,0.9554
N59374,0.9219
N52410,0.8864
N11561,0.9124
N48391,0.8743
N54841,0.9274
N34433,0.8897
N61342,0.9927
N25808,0.9422
N5746,0.9516
N43931,0.959
N39085,0.9133
N8729,0.9455
N11661,0.872
N30667,0.8745
N47810,0.9025
N24266,0.8633
N55878,0.8938
N38705,0.8571
N23526,0.9602
N63184,0.9143
N16298,0.9488
N34684,0.7549
N58590,0.9433
N46245,0.8961
N34140,0.8939
N21517,0.9311
N33861,0.8804
N31452,0.9121
N38495,0.9416
N32019,0.8711
N6267,0.9503
N26984,0.8762
N52007,0.9373
N33011,0.9533
N57947,0.88
N17923,0.9319
N51433,0.9538
N18871,0.9587
N3283,0.9838
N13840,0.9016
N9460,0.8883
N10633,0.7119
N25677,0.8546
N28100,0.9461
N35611,0.6666
N30337,0.957
N11741,0.8783
N6729,0.8885
N28375,0.8607
N53731,0.9545
N60185,0.9318
N15895,0.9183
N17593,0.9682
N310,0.9611
N32673,0.9073
N24726,0.815
N7387,0.8854
N55073,0.9463
N2538,0.9174
N35737,0.8067
N18229,0.9041
N31100,0.895
N53074,0.9309
N2556,0.9347
N1577,0.8778
N5664,0.9724
N50646,0.9629
N57647,0.8641
N36567,0.8184
N3864,0.8547
N10560,0.8491
N27386,0.8778
N41624,0.9195
N58535,0.9789
N46465,0.971
N39121,0.946
N43603,0.8742
N21650,0.9154
N36369,0.9584
N39961,0.9223
N53277,0.8788
N16228,0.8394
N63808,0.889
N62702,0.8032
N15246,0.7664
N54711,0.8905
N41241,0.9408
N20735,0.9421
N26500,0.9323
N40057,0.9826
N24150,0.9281
N43751,0.8722
N11115,0.8509
N55517,0.7964
N19588,0.8831
N18878,0.8863
N18686,0.9503
N47112,0.9669
N39681,0.9062
N60261,0.971
N23927,0.9377
N45574,0.8545
N37722,0.8859
N21666,0.9436
N62605,0.9117
N41775,0.9719
N60396,0.9706
N21214,0.8926
N12423,0.9582
N15278,0.85
N31268,0.841
N21407,0.9387
N40577,0.9134
N48565,0.851
N47592,0.9594
N59190,0.9432
N22458,0.9716
N25368,0.9514
N39609,0.9349
N37867,0.8288
N40671,0.9006
N65089,0.7237
N21570,0.9472
N17172,0.9067
N26995,0.8855
N59553,0.9394
N48070,0.9185
N21781,0.9179
N11952,0.8844
N15120,0.9641
N24093,0.9506
N44185,0.8971
N55701,0.9565
N16535,0.958
N17850,0.9022
N24470,0.9157
N9908,0.9176
N3805,0.831
N33101,0.792
N18479,0.8681
N11137,0.8969
N55418,0.8547
N7515,0.984
N16361,0.9481
N21839,0.907
N40144,0.9729
N52676,0.8919
N37012,0.6916
N41663,0.9653
N25928,0.9443
N23614,0.8716
N59104,0.8842
N42943,0.8795
N59683,0.9254
N25294,0.786
N42300,0.8121
N3823,0.8878
N64394,0.9342
N63043,0.8915
N32827,0.8984
N447,0.9478
N58185,0.9046
N23823,0.9611
N57182,0.8135
N21655,0.9075
N9571,0.8879
N15417,0.7928
N25150,0.8616
N38480,0.8875
N54797,0.9281
N6160,0.8084
N19036,0.9398
N46458,0.8868
N27425,0.7296
N1975,0.9
N64538,0.8921
N11025,0.8775
N43283,0.9446
N60946,0.8162
N429,0.9503
N2679,0.9527
N42706,0.8627
N40351,0.848
N13239,0.8566
N58845,0.9088
N16798,0.9738
N58220,0.8799
N60948,0.8932
N5536,0.8662
N8088,0.8104
N11755,0.9461
N44843,0.8662
N57220,0.9519
N61976,0.8012
N19300,0.8219
N11034,0.937
N55626,0.8501
N16992,0.8172
N18232,0.8906
N3737,0.7119
N53419,0.8811
N46374,0.6815
N31038,0.9675
N52361,0.9338
N12585,0.8129
N45002,0.8291
N57333,0.9125
N33191,0.9772
N52753,0.9332
N47726,0.9424
N11843,0.9275
N11176,0.9716
N29251,0.8482
N32911,0.9554
N43805,0.8894
N2860,0.9567
N24293,0.905
N40335,0.9528
N52298,0.9587
N54511,0.9196
N57251,0.8751
N44892,0.6832
N45271,0.9051
N49969,0.8936
N36606,0.9342
N28069,0.936
N40585,0.9418
N12935,0.8305
N60726,0.6705
N38870,0.8996
N26808,0.8008
N60753,0.8753
N56390,0.9639
N45635,0.9769
N26860,0.896
N61328,0.8892
N2845,0.9893
N57353,0.8939
N16149,0.8746
N60730,0.9809
N50824,0.8993
N1686,0.9365
N32171,0.9323
N39371,0.9125
N1009,0.8882
N1627,0.9288
N31896,0.8246
N7882,0.8537
N52027,0.947
N53824,0.858
N10469,0.8244
N22577,0.8581
N30399,0.9797
N25343,0.9107
N6027,0.9804
N52363,0.9195
N37158,0.8694
N51565,0.9161
N51112,0.9307
N50842,0.9769
N53912,0.8865
N20611,0.8845
N17799,0.7862
N21402,0.8552
N39306,0.8497
N18913,0.9081
N46107,0.9131
N43691,0.8908
N215,0.8876
N54297,0.9378
N57788,0.9698
N15877,0.9129
N62495,0.8906
N27290,0.9518
N57986,0.8555
N2706,0.924
N29103,0.9296
N3722,0.8814
N53768,0.7611
N14389,0.8524
N31504,0.9631
N9352,0.9224
N21578,0.7739
N20473,0.9399
N22611,0.9127
N23715,0.9392
N29686,0.9229
N44819,0.9426
N47615,0.8295
N812,0.9186
N43141,0.955
N34512,0.8911
N11283,0.9328
N60084,0.9492
N28097,0.7657
N35435,0.9532
N51420,0.932
N29639,0.9623
N40620,0.9098
N12590,0.9409
N8527,0.9395
N48464,0.9739
N27514,0.9029
N34685,0.9528
N64067,0.8491
N50873,0.9443
N38225,0.9415
N4164,0.9744
N45942,0.8829
N65198,0.8467
N11434,0.8854
N2792,0.5493
N20738,0.9157
N56888,0.8533
N38814,0.8935
N35184,0.9324
N10288,0.8696
N6770,0.9615
N26560,0.9351
N37579,0.866
N39791,0.8856
N11173,0.9428
N60091,0.8827
N44782,0.9149
N5882,0.9488
N40452,0.9702
N12244,0.8408
N16926,0.7994
N23659,0.8578
N12786,0.9184
N23958,0.9172
N53270,0.9216
N15571,0.8983
N15342,0.9165
N572,0.9216
N52365,0.9049
N60313,0.9548
N28864,0.934
N21280,0.9514
N44736,0.8618
N13169,0.9361
N41874,0.9338
N20786,0.9179
N10052,0.9238
N17732,0.9046
N63024,0.8143
N64111,0.7838
N42558,0.9433
N11352,0.9471
N61126,0.9193
N8278,0.8352
N33128,0.9118
N34700,0.873
N19494,0.8759
N34907,0.8495
N46920,0.8717
N57511,0.8761
N12545,0.8962
N45300,0.8617
N13451,0.8346
N55618,0.9227
N9043,0.95
N23832,0.9737
N16941,0.8682
N16250,0.8233
N36522,0.9033
N15031,0.9249
N17455,0.8485
N59936,0.9334
N61669,0.941
N38127,0.9192
N32967,0.7744
N63039,0.9206
N35129,0.8197
N57623,0.8937
N17277,0.9552
N30850,0.9044
N32915,0.9369
N8708,0.9304
N52551,0.8581
N886,0.8765
N40102,0.9641
N47285,0.9241
N35656,0.8598
N26598,0.947
N45276,0.9134
N60989,0.893
N53884,0.9221
N33338,0.9391
N39334,0.9003
N53672,0.8763
N10460,0.9104
N45042,0.9589
N23413,0.8177
N49588,0.549
N51905,0.9517
N46398,0.8731
N27504,0.9356
N8357,0.8756
N27411,0.8469
N30693,0.9076
N38623,0.8615
N59507,0.9582
N53822,0.9176
N43623,0.8473
N43306,0.8705
N37534,0.9015
N26789,0.9592
N62964,0.8898
N27431,0.9312
N29769,0.9235
N25297,0.982
N42289,0.9369
N30302,0.904
N7952,0.9087
N8615,0.9053
N61147,0.9691
N52558,0.9201
N33641,0.914
N26845,0.8626
N26382,0.8702
N30097,0.893
N45406,0.948
N63190,0.8771
N43099,0.8728
N18906,0.9358
N3128,0.9057
N13317,0.8778
N5915,0.8988
N5934,0.8672
N61169,0.9604
N15189,0.8709
N14603,0.938
N62247,0.9286
N60682,0.9725
N48347,0.9228
N39111,0.9517
N37762,0.8207
N36542,0.9628
N39250,0.8124
N13196,0.8968
N47324,0.8891
N6156,0.9598
N45806,0.8778
N19379,0.8567
N49619,0.8523
N53915,0.8518
N24102,0.8683
N32797,0.8713
N44467,0.9409
N58883,0.7798
N32962,0.9045
N39688,0.9421
N7512,0.9259
N16377,0.9424
N14356,0.9669
N4801,0.8186
N61901,0.9502
N49903,0.5762
N13043,0.9688
N694,0.891
N15253,0.9076
N37750,0.8778
N45029,0.8905
N43900,0.9299
N36101,0.9696
N7436,0.9701
N63589,0.8921
N32518,0.9258
N19701,0.9784
N19847,0.8757
N64145,0.9343
N19252,0.8121
N14704,0.9752
N17196,0.8973
N44080,0.868
N31554,0.9164
N47822,0.9235
N37832,0.879
N63444,0.8695
N29465,0.9167
N60546,0.9779
N26851,0.8018
N19568,0.948
N27927,0.942
N43505,0.9313
N46003,0.7423
N52063,0.8963
N37494,0.909
N29820,0.8508
N40182,0.9177
N643,0.9063
N59653,0.9143
N29516,0.9418
N47573,0.9581
N24044,0.8845
N27405,0.8348
N39020,0.9263
N39703,0.9424
N10162,0.8724
N19421,0.9452
N18238,0.9314
N11477,0.9039
N23641,0.8868
N31686,0.8453
N55040,0.836
N44600,0.8574
N64911,0.9155
N22207,0.8664
N37435,0.8439
N34656,0.9248
N43865,0.9374
N6468,0.8933
N10079,0.8474
N29092,0.8718
N33879,0.8139
N45761,0.9557
N32522,0.9355
N3595,0.9387
N12065,0.9534
N8450,0.9173
N39299,0.9627
N3335,0.9394
N65125,0.9732
N57362,0.9417
N65191,0.9146
N47797,0.8177
N45436,0.9092
N34610,0.8466
N32676,0.9697
